B,KHOURIBGA                                         ,BENI MELLAL,X,X,X,X,X,X,,X,X,X,X,,,,,
B,FKIH BEN SALEH,BENI MELLAL,X,X,X,X,X,X,,X,X,X,X,,,,,
B,BEN HMAD                                          ,BENI MELLAL,x,,,,,x,,X,X,X,X,,,,,
B,SOUK SEBT                                         ,BENI MELLAL,x,x,x,x,x,,,X,X,X,X,,,,,
C,KHENIFRA                                          ,BENI MELLAL,x,,,,,,,X,X,X,X,,,,,
C,KASBAT TADLA                                      ,BENI MELLAL,x,,x,,x,,,X,X,X,X,,,,,
C,OUED ZEM                                          ,BENI MELLAL,,,x,,,,,X,X,X,X,,,,,
C,AZILAL                                            ,BENI MELLAL,,x,,,,,,X,X,X,X,,,,,
C,ZAOUIYAT CHEIKH,BENI MELLAL,x,,,,,,,X,X,X,X,,,,,
C,BEJAAD                                            ,BENI MELLAL,,,x,,,,,X,X,X,X,,,,,
C,MRIRT,BENI MELLAL,x,,,,,,,X,X,X,X,,,,,
C,SEBT NEMMA,BENI MELLAL,x,x,x,x,x,,,X,X,X,X,,,,,
C,OULED ZIDOUH,BENI MELLAL,,,x,x,x,x,,X,X,X,X,,,,,
C,KSSIBA,BENI MELLAL,,,X,X,X,X,,X,X,X,X,,,,,
C,AFOURAR,BENI MELLAL,,x,,,,,,X,X,X,X,,,,,
C,BOUJNIBA,BENI MELLAL,,,x,,,,,X,X,X,X,,,,,
C,TLAT OULAD,BENI MELLAL,x,,,,,,,X,X,X,X,,,,,
C,TIGHSSALINE,BENI MELLAL,x,,,,,,,X,X,X,X,,,,,
C,OULED AYAD,BENI MELLAL,,,x,x,x,x,,X,X,X,X,,,,,
C,OUAOUIZERTH,BENI MELLAL,,x,,,,,,X,X,X,X,,,,,
C,AIT ISHAQ,BENI MELLAL,x,,,,,,,X,X,X,X,,,,,
B,OULED MRAH,BENI MELLAL,,,x,x,x,x,,X,X,X,X,,,,,
C,HAD BRADIA,BENI MELLAL,,x,x,x,x,x,,X,X,X,X,,,,,
C,BIR MEZOUI,BENI MELLAL,,,x,,,,,X,X,X,X,,,,,
C,OULAD MBAREK,BENI MELLAL,x,x,x,x,x,x,,X,X,X,X,,,,,
C,FOUM OUDI,BENI MELLAL,x,x,x,x,x,x,,X,X,X,X,,,,,
A,CASABLANCA,CASABLANCA,x,x,x,x,x,x,,X,X,X,X,,,,,
A,MOHAMMEDIA                                        ,CASABLANCA,X,X,X,X,X,X,,X,X,X,X,,,,,
A,BERRECHID                                         ,CASABLANCA,X,X,X,X,X,X,,X,X,X,X,,,,,
A,SETTAT                                            ,CASABLANCA,X,X,X,X,X,X,,X,X,X,X,,,,,
A,BOUSKOURA                                         ,CASABLANCA,X,X,X,X,X,X,,X,X,X,X,,,,,
A,HAD SOUALEM,CASABLANCA,X,X,X,X,X,X,,X,X,X,X,,,,,
A,NOUASSER,CASABLANCA,X,X,X,X,X,X,,X,X,X,X,,,,,
A,AIN SEBAA           ,CASABLANCA,X,X,X,X,X,X,,X,X,X,X,,,,,
A,TIT MELLIL,CASABLANCA,X,X,X,X,X,X,,X,X,X,X,,,,,
A,LAKHYAYTA,CASABLANCA,X,X,X,X,X,X,,X,X,X,X,,,,,
B,BEN SLIMANE                                       ,CASABLANCA,,X,,X,,,,X,X,X,X,,,,,
B,AIN HARROUDA,CASABLANCA,X,X,X,X,X,X,,X,X,X,X,,,,,
C,EL GARA,CASABLANCA,,,,,,X,,X,X,X,X,,,,,
A,EL JADIDA                                         ,EL JADIDA,X,X,X,X,X,X,,X,X,X,X,,,,,
B,AZEMMOUR                                           ,EL JADIDA,*,,*,,*,,,X,X,X,X,,,,,
B,SIDI BENNOUR                                      ,EL JADIDA,X,,X,,X,,,X,X,X,X,,,,,
B,BIR JDID                                          ,EL JADIDA,,,,,,*,,X,X,X,X,,,,,
C,KHEMISS ZEMAMRA                                   ,EL JADIDA,X,,X,,X,,,X,X,X,X,,,,,
C,OUALIDIA,EL JADIDA,,,,,*,,,X,X,X,X,,,,,
C,SIDI SMAIL                                        ,EL JADIDA,X,,X,,X,,,X,X,X,X,,,,,
A,FES                                               ,FES,X,X,X,X,X,X,,X,X,X,X,,,,,
C,MIDELT                                            ,FES,,,,X,,,,X,,,,,,,,
C,SEFROU                                            ,FES,,,,,X,,,,X,X,X,,,,,
C,AIN TAOUJTATE                                     ,FES,X,,,,,,,,X,X,X,,,,,
C,ERRACHIDIA                                        ,FES,,,,X,,,,X,,,,,,,,
C,IMMOUZER                                          ,FES,,,,X,,,,X,,X,,,,,,
C,AZROU                                             ,FES,,,,X,,,,X,,X,,,,,,
C,IFRANE                                            ,FES,,,,X,,,,X,,X,,,,,,
C,ARFOUD                                            ,FES,,,,X,,,,X,,,,,,,,
C,RICH,FES,,,,X,,,,X,,,,,,,,
C,BOUMIA,FES,,,,X,,,,X,,,,,,,,
C,TAOUNATE                                    ,FES,,,,,,X,,,,,X,,,,,
C,MISSOUR,FES,,,,X,,,,X,,,,,,,,
C,KARIAT BA MHAMED,FES,,,,,,X,,,,,X,,,,,
C,BOULMANE                                          ,FES,,,,X,,,,X,,,,,,,,
C,GOULMIMA,FES,,,,X,,,,X,,,,,,,,
C,OUTAT EL HAJ,FES,,,,X,,,,X,,,,,,,,
C,RISSANI,FES,,,,X,,,,X,,,,,,,,
C,TISSA,FES,,,,,,X,,,,,X,,,,,
C,GHAFSAI,FES,,,,,,X,,,,,X,,,,,
C,ZAIDA,FES,,,,X,,,,X,,,,,,,,
A,KENITRA                                           ,KENITRA,X,X,X,X,X,X,,X,X,X,X,,,,,
B,SIDI KACEM                                        ,KENITRA,X,,X,,X,,,X,X,X,X,,,,,
B,SIDI SLIMANE                                      ,KENITRA,X,,X,,X,,,X,X,X,X,,,,,
B,SIDI YAHIA GHARB                                  ,KENITRA,X,,X,,X,,,X,X,X,X,,,,,
